0.sledgehammer initialize Params for sledgehammer: {abduce = SOME 0, cache_dir = NONE, compress = NONE, debug = false, expect =
0.sledgehammer initialize  "", fact_filter = NONE, fact_thresholds = (0.45, 0.85), falsify =
0.sledgehammer initialize  SOME false, induction_rules = NONE, instantiate = NONE, isar_proofs = NONE,
0.sledgehammer initialize  lam_trans = NONE, learn = true, max_facts = NONE, max_mono_iters = NONE,
0.sledgehammer initialize  max_new_mono_instances = NONE, max_proofs = 4, minimize = true, overlord =
0.sledgehammer initialize  false, preplay_provers = [], preplay_timeout = 1.000, provers =
0.sledgehammer initialize  ["cvc5_proof"], slices = 96, smt_proofs = true, spy = false, strict =
0.sledgehammer initialize  false, timeout = 30.000, try0 = true, type_enc = NONE, uncurried_aliases =
0.sledgehammer initialize  NONE, verbose = false}
0.sledgehammer goal.by            0ms Ordered_Resolution_Prover.FO_Ordered_Resolution 43:1692  
0.sledgehammer goal.by         5457ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1230:46870  some (SH 5457ms, ATP 937ms): Try this: by blast (5 ms)
0.sledgehammer goal.using     36565ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1235:46958  some (SH 36565ms, ATP 2624ms): Try this: using AAs0'_AAs aas_not_empt n(4) by force (14 ms)
0.sledgehammer goal.by        24436ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1235:47000  some (SH 24435ms, ATP 1384ms): Try this: by (metis image_mset_is_empty_iff subst_atm_mset_list_nth subst_cls_empty_iff subst_cls_poss) (39 ms)
0.sledgehammer goal.using     144375ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1242:47168  some (SH 144375ms, ATP 2843ms): Try this: using CAs0'_split DA0'_split E0'_def \<open>\<forall>i<n. AAs0' ! i \<noteq> {#}\<close> \<tau>\<phi>(1) eligible0' maximality n(1,3,4,5) nothing_selected nz ord_resolve.ord_resolve by presburger (141 ms)
0.sledgehammer goal.unfolding 10270ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1245:47398  some (SH 10270ms, ATP 743ms): Try this: using CAs0'_split DA0'_split E0'_def n(1,3,4,5) nz by blast (11 ms)
0.sledgehammer goal.using      7610ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1245:47416  some (SH 7610ms, ATP 711ms): Try this: using CAs0'_split DA0'_split n(1,3,4,5) nz by blast (5 ms)
0.sledgehammer goal.by         9675ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1245:47483  some (SH 9675ms, ATP 829ms): Try this: by blast (5 ms)
0.sledgehammer goal.proof     40170ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1249:47578  some (SH 40170ms, ATP 1172ms): Try this: by (metis E0'_def \<open>Cs0' \<cdot>cl \<eta> = Cs\<close> \<open>D0' \<cdot> \<eta> = D\<close> \<tau>\<phi>(2) e subst_cls_comp_subst subst_cls_union sum_list_subst_cls_list_subst_cls sum_mset_sum_list) (443 ms)
0.sledgehammer goal.unfolding  5513ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1251:47649  some (SH 5513ms, ATP 343ms): Try this: using E0'_def subst_cls_comp_subst by presburger (4 ms)
0.sledgehammer goal.by         5807ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1251:47667  some (SH 5806ms, ATP 1703ms): Try this: using subst_cls_comp_subst by presburger (5 ms)
0.sledgehammer goal.using      5583ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1253:47735  some (SH 5582ms, ATP 368ms): Try this: using \<tau>\<phi>(2) by presburger (2 ms)
0.sledgehammer goal.by         4410ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1253:47744  some (SH 4410ms, ATP 538ms): Try this: by argo (6 ms)
0.sledgehammer goal.using     35303ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1255:47802  some (SH 35303ms, ATP 1421ms): Try this: using \<open>Cs0' \<cdot>cl \<eta> = Cs\<close> \<open>D0' \<cdot> \<eta> = D\<close> by force (31 ms)
0.sledgehammer goal.by        14615ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1255:47840  some (SH 14615ms, ATP 698ms): Try this: by fastforce (65 ms)
0.sledgehammer goal.using      4829ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1257:47876  some (SH 4829ms, ATP 302ms): Try this: using e by force (1 ms)
0.sledgehammer goal.by         4253ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1257:47884  some (SH 4253ms, ATP 388ms): Try this: by blast (0.6 ms)
0.sledgehammer goal.proof     98173ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1265:48072  some (SH 98172ms, ATP 1151ms): Try this: by (smt (z3) \<open>\<And>thesis. (\<And>DA0 \<eta>0 CAs0 \<eta>s0 As0 AAs0 D0 Cs0. \<lbrakk>length CAs0 = n; length \<eta>s0 = n; DA0 \<in> M; DA0 \<cdot> \<eta>0 = DA; S DA0 \<cdot> \<eta>0 = S_M S M DA; \<forall>CA0\<in>set CAs0. CA0 \<in> M; CAs0 \<cdot>\<cdot>cl \<eta>s0 = CAs; map S CAs0 \<cdot>\<cdot>cl \<eta>s0 = map (S_M S M) CAs; is_ground_subst \<eta>0; is_ground_subst_list \<eta>s0; As0 \<cdot>al \<eta>0 = As; AAs0 \<cdot>\<cdot>aml \<eta>s0 = AAs; length As0 = n; D0 \<cdot> \<eta>0 = D; DA0 = D0 + negs (mset As0); S_M S M (D + negs (mset As)) \<noteq> {#} \<Longrightarrow> negs (mset As0) = S DA0; length Cs0 = n; Cs0 \<cdot>\<cdot>cl \<eta>s0 = Cs; \<forall>i<n. CAs0 ! i = Cs0 ! i + poss (AAs0 ! i); length AAs0 = n\<rbrakk> \<Longrightarrow> thesis) \<Longrightarrow> thesis\<close> e e0'\<phi>e ground_subst_ground_cls ground_subst_ground_cls_lists is_ground_cls_list_is_ground_cls_sum_list is_ground_cls_union is_ground_subst_cls make_ground_subst substitution_ops.is_ground_subst_list_def sum_mset_sum_list) (1.2 s)
0.sledgehammer goal.using     13172ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1267:48139  some (SH 13172ms, ATP 459ms): Try this: apply (metis as0(10,7) ground_subst_ground_cls_lists substitution_ops.is_ground_subst_list_def) (26 ms)
0.sledgehammer goal.unfolding 13827ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1267:48172  some (SH 13827ms, ATP 425ms): Try this: apply (metis as0(10,7) ground_subst_ground_cls_lists substitution_ops.is_ground_subst_list_def) (82 ms)
0.sledgehammer goal.by         6446ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1267:48205  some (SH 6445ms, ATP 432ms): Try this: apply auto[1] (5 ms)
0.sledgehammer goal.using     61271ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1269:48251  some (SH 61271ms, ATP 988ms): Try this: by (smt (z3) \<open>\<And>thesis. (\<And>DA0 \<eta>0 CAs0 \<eta>s0 As0 AAs0 D0 Cs0. \<lbrakk>length CAs0 = n; length \<eta>s0 = n; DA0 \<in> M; DA0 \<cdot> \<eta>0 = DA; S DA0 \<cdot> \<eta>0 = S_M S M DA; \<forall>CA0\<in>set CAs0. CA0 \<in> M; CAs0 \<cdot>\<cdot>cl \<eta>s0 = CAs; map S CAs0 \<cdot>\<cdot>cl \<eta>s0 = map (S_M S M) CAs; is_ground_subst \<eta>0; is_ground_subst_list \<eta>s0; As0 \<cdot>al \<eta>0 = As; AAs0 \<cdot>\<cdot>aml \<eta>s0 = AAs; length As0 = n; D0 \<cdot> \<eta>0 = D; DA0 = D0 + negs (mset As0); S_M S M (D + negs (mset As)) \<noteq> {#} \<Longrightarrow> negs (mset As0) = S DA0; length Cs0 = n; Cs0 \<cdot>\<cdot>cl \<eta>s0 = Cs; \<forall>i<n. CAs0 ! i = Cs0 ! i + poss (AAs0 ! i); length AAs0 = n\<rbrakk> \<Longrightarrow> thesis) \<Longrightarrow> thesis\<close> e ground_subst_ground_cls ground_subst_ground_cls_lists is_ground_cls_list_is_ground_cls_sum_list is_ground_cls_union is_ground_subst_cls substitution_ops.is_ground_subst_list_def sum_mset_sum_list) (366 ms)
0.sledgehammer goal.by        48902ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1269:48287  some (SH 48902ms, ATP 561ms): Try this: by (metis as0(10,14,18,9) e ground_subst_ground_cls ground_subst_ground_cls_lists is_ground_cls_list_is_ground_cls_sum_list is_ground_cls_union is_ground_subst_cls substitution_ops.is_ground_subst_list_def sum_mset_sum_list) (119 ms)
0.sledgehammer goal.using      7425ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1271:48351  some (SH 7424ms, ATP 486ms): Try this: using e0'\<phi>e make_ground_subst that by blast (9 ms)
0.sledgehammer goal.by         8676ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1271:48386  some (SH 8676ms, ATP 487ms): Try this: by blast (2 ms)
0.sledgehammer goal.using      5010ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1275:48439  some (SH 5009ms, ATP 376ms): Try this: using cas_len n(7) by blast (1 ms)
0.sledgehammer goal.by         6014ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1275:48447  some (SH 6014ms, ATP 608ms): Try this: by argo (3 ms)
0.sledgehammer goal.using      5326ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1278:48493  some (SH 5326ms, ATP 393ms): Try this: by (simp add: cas_len n(8)) (0.6 ms)
0.sledgehammer goal.by         6094ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1278:48501  some (SH 6094ms, ATP 677ms): Try this: by argo (3 ms)
0.sledgehammer goal.using      9805ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1282:48620  some (SH 9805ms, ATP 1174ms): Try this: using AAs0'_def As0'_def CAs0'_def DA0'_def res_e0' by fastforce (2 ms)
0.sledgehammer goal.by         5394ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1282:48698  some (SH 5394ms, ATP 1116ms): Try this: by meson (4 ms)
0.sledgehammer goal.using      8658ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1284:48762  some (SH 8658ms, ATP 952ms): Try this: by (simp add: as0(19)) (2 ms)
0.sledgehammer goal.by         6658ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1284:48776  some (SH 6658ms, ATP 1016ms): Try this: by auto (4 ms)
0.sledgehammer goal.using      6749ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1286:48829  some (SH 6749ms, ATP 592ms): Try this: by (simp add: as0(15)) (1 ms)
0.sledgehammer goal.by         4965ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1286:48849  some (SH 4965ms, ATP 753ms): Try this: using mset_subset_eq_add_right by blast (2 ms)
0.sledgehammer goal.using     47774ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1288:48926  some (SH 47774ms, ATP 1973ms): Try this: by (metis FO_resolution.ord_resolve_rename.simps FO_resolution_axioms \<rho>_def \<rho>s_def n(10,7,9)) (244 ms)
0.sledgehammer goal.by         6574ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1288:49003  some (SH 6574ms, ATP 1004ms): Try this: by fastforce (7 ms)
0.sledgehammer goal.using     34931ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1290:49034  timeout (SH 34931ms): Timed out
0.sledgehammer goal.by        24253ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1293:49294  some (SH 24253ms, ATP 2798ms): Try this: by blast (5 ms)
0.sledgehammer goal.proof     36082ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1303:49566  some (SH 36082ms, ATP 3075ms): Try this: using CAs_p ground_cas ground_da ground_resolution_with_selection.intro ground_resolution_with_selection.ord_resolve_atms_of_concl_subset is_ground_cls_as_atms is_ground_cls_list_def local.select by fastforce (215 ms)
0.sledgehammer goal.using      9387ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1305:49644  some (SH 9387ms, ATP 498ms): Try this: by (meson CAs_p ground_resolution_with_selection.intro ground_resolution_with_selection.ord_resolve_atms_of_concl_subset local.select) (12 ms)
0.sledgehammer goal.by         4773ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1306:49784  some (SH 4773ms, ATP 452ms): Try this: by argo (0.9 ms)
0.sledgehammer goal.by         4759ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1311:49886  some (SH 4759ms, ATP 361ms): Try this: using atm_of_lit_in_atms_of by blast (0.6 ms)
0.sledgehammer goal.using     34614ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1313:49966  timeout (SH 34614ms): Timed out
0.sledgehammer goal.by        34887ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1314:50057  timeout (SH 34887ms): Timed out
0.sledgehammer goal.unfolding  9402ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1317:50093  some (SH 9401ms, ATP 460ms): Try this: using is_ground_cls_def is_ground_lit_def by presburger (2 ms)
0.sledgehammer goal.by         3958ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1317:50139  some (SH 3958ms, ATP 305ms): Try this: by blast (0.6 ms)
0.sledgehammer goal.proof     32954ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1327:50465  timeout (SH 32954ms): Timed out
0.sledgehammer goal.using      5454ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1335:50981  some (SH 5454ms, ATP 1000ms): Try this: by (simp add: aas_len as_len) (2 ms)
0.sledgehammer goal.by         4985ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1335:51002  some (SH 4985ms, ATP 926ms): Try this: by argo (1 ms)
0.sledgehammer goal.by         8583ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1338:51090  some (SH 8583ms, ATP 815ms): Try this: by auto (15 ms)
0.sledgehammer goal.using     13725ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1340:51178  some (SH 13725ms, ATP 674ms): Try this: by (metis card_le_Suc0_iff_eq multiset.set_finite) (52 ms)
0.sledgehammer goal.by         9160ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1340:51197  some (SH 9160ms, ATP 648ms): Try this: by metis (39 ms)
0.sledgehammer goal.using      5740ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1342:51295  some (SH 5740ms, ATP 393ms): Try this: using aas_len by fastforce (1 ms)
0.sledgehammer goal.by         3984ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1342:51309  some (SH 3984ms, ATP 415ms): Try this: by meson (0.5 ms)
0.sledgehammer goal.using     34533ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1344:51396  timeout (SH 34533ms): Timed out
0.sledgehammer goal.by         8452ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1344:51453  some (SH 8452ms, ATP 760ms): Try this: by force (75 ms)
0.sledgehammer goal.unfolding 80489ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1346:51540  some (SH 80489ms, ATP 811ms): Try this: by (smt (cvc5, trigger_relev) One_nat_def image_def is_unifiers_def mem_Collect_eq subst_atms_id_subst substitution_ops.is_unifier_def) (470 ms)
0.sledgehammer goal.by        10443ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1346:51581  some (SH 10443ms, ATP 482ms): Try this: by fastforce (5 ms)
0.sledgehammer goal.by         9516ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1348:51658  some (SH 9516ms, ATP 504ms): Try this: by blast (0.4 ms)
0.sledgehammer goal.by         9969ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1350:51743  some (SH 9969ms, ATP 563ms): Try this: by blast (0.8 ms)
0.sledgehammer goal.using      7665ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1353:51847  some (SH 7665ms, ATP 533ms): Try this: by (metis mgu_complete) (75 ms)
0.sledgehammer goal.by         6902ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1353:51866  some (SH 6902ms, ATP 586ms): Try this: by metis (79 ms)
0.sledgehammer goal.using      4555ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1356:51972  some (SH 4555ms, ATP 365ms): Try this: using eligibility by blast (0.4 ms)
0.sledgehammer goal.by         4187ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1356:51990  some (SH 4187ms, ATP 354ms): Try this: by blast (1 ms)
0.sledgehammer goal.using     28038ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1358:52053  some (SH 28038ms, ATP 570ms): Try this: by (metis "1"(11) cas cas_len ground_cas is_ground_cls_list_def is_ground_cls_union nth_mem) (43 ms)
0.sledgehammer goal.unfolding 21128ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1358:52102  some (SH 21128ms, ATP 573ms): Try this: by (metis is_ground_cls_list_def is_ground_cls_union) (95 ms)
0.sledgehammer goal.by         6694ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1358:52135  some (SH 6694ms, ATP 624ms): Try this: by (metis is_ground_cls_union) (75 ms)
0.sledgehammer goal.using     35410ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1360:52196  some (SH 35410ms, ATP 1131ms): Try this: by (metis "1"(2) atms_of_negs ground_da is_ground_cls_is_ground_atms_atms_of is_ground_cls_union set_mset_mset) (14 ms)
0.sledgehammer goal.by        13275ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1360:52215  some (SH 13275ms, ATP 597ms): Try this: by (metis atms_of_negs is_ground_cls_is_ground_atms_atms_of is_ground_cls_union set_mset_mset) (45 ms)
0.sledgehammer goal.unfolding 12246ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1363:52381  some (SH 12246ms, ATP 480ms): Try this: by (metis atms_of_negs da ground_da is_ground_atm_mset_def is_ground_cls_imp_is_ground_atm is_ground_cls_union) (76 ms)
0.sledgehammer goal.by         5961ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1363:52433  some (SH 5961ms, ATP 360ms): Try this: by auto (3 ms)
0.sledgehammer goal.using      5837ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1365:52487  some (SH 5837ms, ATP 414ms): Try this: using ground_set_as is_ground_atm_list_def is_ground_atms_def by blast (6 ms)
0.sledgehammer goal.by         4236ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1365:52549  some (SH 4236ms, ATP 473ms): Try this: by blast (4 ms)
0.sledgehammer goal.using     16404ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1367:52596  some (SH 16404ms, ATP 321ms): Try this: using da ground_da is_ground_cls_union by blast (1 ms)
0.sledgehammer goal.by         4440ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1367:52615  some (SH 4440ms, ATP 336ms): Try this: using is_ground_cls_union by blast (5 ms)
0.sledgehammer goal.by        11020ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1372:52720  some (SH 11020ms, ATP 525ms): Try this: apply blast (0.8 ms)
0.sledgehammer goal.using      7724ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1374:52792  some (SH 7724ms, ATP 472ms): Try this: by (meson Max_in) (16 ms)
0.sledgehammer goal.by         6855ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1374:52805  some (SH 6855ms, ATP 518ms): Try this: by metis (31 ms)
0.sledgehammer goal.using     20112ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1376:52888  some (SH 20112ms, ATP 381ms): Try this: using ground_as ground_d is_ground_atm_list_def is_ground_cls_as_atms by auto (20 ms)
0.sledgehammer goal.unfolding  7937ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1377:52954  some (SH 7937ms, ATP 383ms): Try this: using ground_as is_ground_atm_list_def by auto (28 ms)
0.sledgehammer goal.by         8488ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1377:52987  some (SH 8488ms, ATP 389ms): Try this: by auto (16 ms)
0.sledgehammer goal.unfolding 41049ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1380:53069  some (SH 41049ms, ATP 753ms): Try this: by (metis Max_less_iff atms(1,2) atms_of_negs atms_of_plus da ground_da is_ground_Max is_ground_cls_imp_is_ground_atm less_atm_ground maximal_wrt_def order_less_irrefl set_mset_mset) (247 ms)
0.sledgehammer goal.by        30824ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1381:53099  some (SH 30824ms, ATP 633ms): Try this: by (metis Max_less_iff atms(1,2) atms_of_negs atms_of_plus da ground_da is_ground_Max is_ground_cls_imp_is_ground_atm less_atm_ground order_less_irrefl set_mset_mset) (110 ms)
0.sledgehammer goal.using      5483ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1386:53414  some (SH 5483ms, ATP 384ms): Try this: using is_ground_Max apply auto[1] (1 ms)
0.sledgehammer goal.by         4071ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1386:53470  some (SH 4071ms, ATP 427ms): Try this: using is_ground_subst_atm apply blast (3 ms)
0.sledgehammer goal.using     35051ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1388:53550  timeout (SH 35051ms): Timed out
0.sledgehammer goal.unfolding 35228ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1388:53568  timeout (SH 35228ms): Timed out
0.sledgehammer goal.by        30707ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1390:53714  some (SH 30707ms, ATP 740ms): Try this: by (metis atms_of_negs atms_of_plus da ground_da is_ground_subst_cls set_mset_mset subset_mset.add_eq_0_iff_both_eq_0) (64 ms)
0.sledgehammer goal.using     35035ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1393:53783  timeout (SH 35035ms): Timed out
0.sledgehammer goal.unfolding 34810ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1395:53958  timeout (SH 34810ms): Timed out
0.sledgehammer goal.by        35171ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1395:53993  timeout (SH 35171ms): Timed out
0.sledgehammer goal.by        11517ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1397:54124  some (SH 11517ms, ATP 647ms): Try this: by (simp add: as_len ground_as ground_cs) (6 ms)
0.sledgehammer goal.using     52680ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1400:54206  some (SH 52679ms, ATP 3957ms): Try this: by (metis cs_len e ground_cs ground_d in_set_conv_nth is_ground_cls_list_def is_ground_cls_list_is_ground_cls_sum_list is_ground_cls_union sum_mset_sum_list) (27 ms)
0.sledgehammer goal.unfolding 34241ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1400:54238  some (SH 34241ms, ATP 2185ms): Try this: by (metis e in_set_conv_nth is_ground_cls_list_def is_ground_cls_list_is_ground_cls_sum_list is_ground_cls_union sum_mset_sum_list) (28 ms)
0.sledgehammer goal.by        17446ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1401:54272  some (SH 17446ms, ATP 859ms): Try this: by (metis in_Union_mset_iff in_mset_conv_nth union_iff) (327 ms)
0.sledgehammer goal.using     32240ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1404:54342  timeout (SH 32240ms): Timed out
0.sledgehammer goal.by        10740ms Ordered_Resolution_Prover.FO_Ordered_Resolution 1406:54483  some (SH 10739ms, ATP 645ms): Try this: by auto (15 ms)
0.sledgehammer finalize   Total number of sledgehammer calls: 661
0.sledgehammer finalize   Number of successful sledgehammer calls: 538
0.sledgehammer finalize   Number of sledgehammer lemmas: 3289
0.sledgehammer finalize   Max number of sledgehammer lemmas: 26
0.sledgehammer finalize   Success rate: 81.4%
0.sledgehammer finalize   Total number of nontrivial sledgehammer calls: 661
0.sledgehammer finalize   Number of successful nontrivial sledgehammer calls: 538
0.sledgehammer finalize   Total time for sledgehammer calls (Isabelle): 14468.693
0.sledgehammer finalize   Total time for successful sledgehammer calls (ATP): 507.133
0.sledgehammer finalize   Average time for sledgehammer calls (Isabelle): 21.889
0.sledgehammer finalize   Average time for successful sledgehammer calls (ATP): 0.943
